Fecha,Numero,Loteria
1992-10-23,399,Play noche
1992-10-27,910,Cruz roja
1992-11-01,929,Cash noche
1992-11-03,417,Play noche
1992-11-04,553,Cash noche
1992-11-07,572,Play noche
1992-11-08,160,Play noche
1992-11-15,456,Play noche
1992-11-16,818,Play noche
1992-11-22,853,Play noche
1992-11-24,744,Cash noche
1992-11-28,165,Play noche
1992-12-08,549,Cash noche
1992-12-11,982,Cash noche
1992-12-13,533,Cash noche
1992-12-16,827,Play noche
1992-12-17,882,Cash noche
1992-12-18,265,Cash noche
1992-12-22,655,Cash noche
1992-12-24,803,Cash noche
1992-12-26,510,Cash noche
1993-01-04,111,Play noche
1993-01-07,203,Play noche
1993-01-10,302,Cash noche
1993-01-23,400,Cash noche
1993-01-24,111,Cash noche
1993-01-27,954,Cash noche
1993-01-28,400,Play noche
1993-01-29,844,Cash noche
1993-01-31,56,Cash noche
1993-02-02,768,Cash noche
1993-02-02,999,Play noche
1993-02-11,213,Play noche
1993-02-13,945,Cash noche
1993-02-15,872,Cash noche
1993-02-16,549,Cash noche
1993-02-18,311,Cash noche
1993-02-19,945,Cash noche
1993-02-21,882,Play noche
1993-02-22,827,Cash noche
1993-02-23,54,Cruz roja
1993-02-24,433,Cash noche
1993-02-25,50,Cash noche
1993-02-28,655,Play noche
1993-03-01,269,Play noche
1993-03-02,768,Cruz roja
1993-03-04,872,Play noche
1993-03-06,98,Cash noche
1993-03-06,999,Play noche
1993-03-15,844,Cash noche
1993-03-21,901,Cash noche
1993-03-22,317,Play noche
1993-03-23,433,Cash noche
1993-03-23,400,Play noche
1993-03-27,610,Cash noche
1993-03-29,862,Play noche
1993-03-30,113,Cruz roja
1993-03-31,622,Cash noche
1993-04-02,405,Medellín
1993-04-05,333,Play noche
1993-04-10,17,Play noche
1993-04-15,200,Cash noche
1993-04-16,668,Medellín
1993-04-17,853,Cash noche
1993-04-21,44,Cash noche
1993-04-25,557,Cash noche
1993-04-27,55,Cash noche
1993-04-29,978,Cash noche
1993-05-02,955,Cash noche
1993-05-03,562,Cash noche
1993-05-04,741,Cruz roja
1993-05-05,562,Play noche
1993-05-06,165,Cash noche
1993-05-06,901,Play noche
1993-05-07,323,Medellín
1993-05-13,546,Play noche
1993-05-16,553,Cash noche
1993-05-16,866,Play noche
1993-05-21,334,Cash noche
1993-05-25,553,Cash noche
1993-05-25,230,Cruz roja
1993-05-26,433,Cash noche
1993-05-27,83,Cash noche
1993-05-27,287,Play noche
1993-05-28,213,Medellín
1993-05-29,578,Cash noche
1993-05-31,879,Play noche
1993-06-01,945,Cruz roja
1993-06-04,538,Play noche
1993-06-07,901,Play noche
1993-06-08,311,Cash noche
1993-06-08,610,Play noche
1993-06-10,808,Play noche
1993-06-11,55,Medellín
1993-06-12,256,Cash noche
1993-06-13,123,Cash noche
1993-06-21,23,Cash noche
1993-06-22,91,Cash noche
1993-06-22,880,Play noche
1993-06-30,45,Cash noche
1993-07-03,728,Play noche
1993-07-06,999,Cruz roja
1993-07-07,758,Play noche
1993-07-08,302,Cash noche
1993-07-09,590,Cash noche
1993-07-10,988,Cash noche
1993-07-12,853,Play noche
1993-07-14,807,Play noche
1993-07-16,688,Play noche
1993-07-17,574,Cash noche
1993-07-25,404,Play noche
1993-07-27,777,Play noche
1993-08-01,539,Cash noche
1993-08-02,444,Cash noche
1993-08-04,269,Play noche
1993-08-06,732,Cash noche
1993-08-07,54,Cash noche
1993-08-10,233,Play noche
1993-08-15,768,Play noche
1993-08-16,714,Play noche
1993-08-17,929,Play noche
1993-08-18,582,Cash noche
1993-08-24,133,Cruz roja
1993-08-27,734,Play noche
1993-09-03,456,Cash noche
1993-09-07,533,Cruz roja
1993-09-09,353,Play noche
1993-09-11,546,Cash noche
1993-09-13,559,Cash noche
1993-09-13,878,Play noche
1993-09-18,878,Cash noche
1993-09-21,500,Play noche
1993-09-24,910,Play noche
1993-09-27,744,Play noche
1993-09-28,806,Cash noche
1993-10-01,723,Cash noche
1993-10-01,321,Medellín
1993-10-03,950,Play noche
1993-10-04,803,Cash noche
1993-10-07,4,Play noche
1993-10-08,827,Cash noche
1993-10-11,574,Cash noche
1993-10-12,405,Cash noche
1993-10-12,177,Cruz roja
1993-10-14,732,Cash noche
1993-10-15,65,Cash noche
1993-10-17,377,Cash noche
1993-10-18,572,Cash noche
1993-10-18,807,Play noche
1993-10-19,358,Play noche
1993-10-20,400,Cash noche
1993-10-22,4,Play noche
1993-10-26,827,Play noche
1993-10-28,423,Cash noche
1993-10-28,331,Play noche
1993-10-29,768,Medellín
1993-10-31,905,Play noche
1993-11-05,562,Medellín
1993-11-11,830,Play noche
1993-11-12,526,Play noche
1993-11-15,368,Cash noche
1993-11-16,904,Play noche
1993-11-19,543,Medellín
1993-11-23,353,Cash noche
1993-11-23,417,Cruz roja
1993-11-24,399,Play noche
1993-11-27,807,Play noche
1993-11-28,233,Play noche
1993-12-02,546,Play noche
1993-12-03,945,Medellín
1993-12-04,405,Cash noche
1993-12-06,882,Cash noche
1993-12-06,574,Play noche
1993-12-07,549,Play noche
1993-12-16,200,Play noche
1993-12-17,755,Play noche
1993-12-21,84,Play noche
1993-12-26,100,Play noche
1993-12-30,44,Play noche
1994-01-01,23,Play noche
1994-01-03,113,Play noche
1994-01-04,450,Cash noche
1994-01-05,296,Cash noche
1994-01-05,450,Play noche
1994-01-07,560,Cash noche
1994-01-10,741,Play noche
1994-01-18,910,Cash noche
1994-01-26,4,Cash noche
1994-01-28,433,Cash noche
1994-01-28,943,Medellín
